Project,Specification,Area,Value
Ratan Neptune,1 BHK Residential Apartment in Hadapsar,434 sq.ft. (40 sq.m.) Carpet Area,₹ 25.41 Lac
Ambience Residency,3 BHK Residential Apartment in Hadapsar,975 sq.ft. (91 sq.m.) Super built-up Area,"₹ 50 Lac₹ 5,128/sq.ft."
Suda Sangam,1 BHK Residential Apartment in Hadapsar,635 sq.ft. (59 sq.m.) Carpet Area,"₹ 40 Lac₹ 5,714/sq.ft."
Dreams Estate,1 BHK Residential Apartment in Hadapsar,548 sq.ft. (51 sq.m.) Built-up Area,"₹ 23.5 Lac₹ 4,562/sq.ft."
Ram India Sampanna Homes,1 BHK Residential Apartment in Manjri,544 sq.ft. (51 sq.m.) Super built-up Area,"₹ 23.5 Lac₹ 4,319/sq.ft."
Ram India Sampanna Homes,1 BHK Residential Apartment in Manjri,550 sq.ft. (51 sq.m.) Super built-up Area,"₹ 27 Lac₹ 4,909/sq.ft."
Sentosa Residency,1 BHK Residential Apartment in North Hadapsar,660 sq.ft. (61 sq.m.) Built-up Area,"₹ 41 Lac₹ 6,212/sq.ft."
,1 Bedroom Independent House in Manjari Budruk,500 sq.ft. (46 sq.m.) Plot Area,"₹ 35 Lac₹ 7,000/sq.ft."
Kanchan Junga Arcade,1 BHK Residential Apartment in Hadapsar Gaon,610 sq.ft. (57 sq.m.) Super built-up Area,"₹ 45 Lac₹ 7,378/sq.ft."
Ram India Sampanna Homes,1 BHK Residential Apartment in Manjri,680 sq.ft. (63 sq.m.) Super built-up Area,"₹ 35 Lac₹ 5,147/sq.ft."
Sai Vishwa b,2 BHK Residential Apartment in Manjari Budruk,863 sq.ft. (80 sq.m.) Super built-up Area,"₹ 30 Lac₹ 3,476/sq.ft."
Kumar Kubera Sankul Riddhi,2 BHK Residential Apartment in Hadapsar,700 sq.ft. (65 sq.m.) Super built-up Area,"₹ 60 Lac₹ 8,571/sq.ft."
Ram India Sampanna Homes,1 BHK Residential Apartment in Manjri,544 sq.ft. (51 sq.m.) Built-up Area,"₹ 24 Lac₹ 4,411/sq.ft."
Vrundavan Height,1 BHK Residential Apartment in Manjari Budruk,427 sq.ft. (40 sq.m.) Super built-up Area,"₹ 23 Lac₹ 5,386/sq.ft."
Leisure Town,1 BHK Residential Apartment in Hadapsar,460 sq.ft. (43 sq.m.) Carpet Area,₹ 42 Lac
Kalpataru Serenity,3 BHK Residential Apartment in Manjri,"1,056 sq.ft. (98 sq.m.) Carpet Area","₹ 54 Lac₹ 5,113/sq.ft."
Kalpataru Serenity,2 BHK Residential Apartment in Manjri,561 sq.ft. (52 sq.m.) Carpet Area,Price on Request
Sharda Sai Srushti,4 BHK Residential Apartment in Manjri,"1,350 sq.ft. (125 sq.m.) Super built-up Area","₹ 50 Lac₹ 3,703/sq.ft."
,7 Bedroom Independent House in Manjri,"1,008 sq.ft. (94 sq.m.) Plot Area","₹ 1.2 Cr₹ 11,904/sq.ft."
Thakkar Park,(1 RK) Studio Apartment in Hadapsar,425 sq.ft. (39 sq.m.) Built-up Area,"₹ 17.5 Lac₹ 4,117/sq.ft."
Magarpatta City Sylvania,2 BHK Residential Apartment in Magarpatta,"1,250 sq.ft. (116 sq.m.) Super built-up Area","₹ 1.07 Cr₹ 8,560/sq.ft."
,1 BHK Independent Builder Floor in Hadapsar,549 sq.ft. (51 sq.m.) Super built-up Area,"₹ 30 Lac₹ 5,464/sq.ft."
Laxmi Kamal Palace,1 BHK Residential Apartment in Hadapsar,530 sq.ft. (49 sq.m.) Super built-up Area,"₹ 18 Lac₹ 3,397/sq.ft."
Pawar Heights,1 BHK Residential Apartment in Hadapsar,500 sq.ft. (46 sq.m.) Super built-up Area,"₹ 31 Lac₹ 6,200/sq.ft."
Gurukrupa Heights,3 BHK Residential Apartment in Manjari Budruk,"1,250 sq.ft. (116 sq.m.) Super built-up Area","₹ 45 Lac₹ 3,600/sq.ft."
Ram India Sampanna Homes,2 BHK Residential Apartment in Manjri,"1,010 sq.ft. (94 sq.m.) Built-up Area","₹ 57 Lac₹ 5,644/sq.ft."
Shri Lakshmi Vihar,1 BHK Residential Apartment in Hadapsar,600 sq.ft. (56 sq.m.) Carpet Area,"₹ 27 Lac₹ 4,500/sq.ft."
Leisure Town,3 BHK Residential Apartment in Hadapsar,"1,345 sq.ft. (125 sq.m.) Super built-up Area","₹ 74.5 Lac₹ 5,540/sq.ft."
"Sai Villa, Phase 1",Residential Apartment in Manjari Budruk,346 sq.ft. (32 sq.m.) Carpet Area,"₹ 13 Lac₹ 3,757/sq.ft."
on request,2 BHK Residential Apartment in Hadapsar,915 sq.ft. (85 sq.m.) Super built-up Area,"₹ 72 Lac₹ 7,868/sq.ft."
Satyam Oak Vista,1 BHK Residential Apartment in Kale Padal,500 sq.ft. (46 sq.m.) Carpet Area,"₹ 36 Lac₹ 7,200/sq.ft."
apna ghar maple,1 BHK Residential Apartment in Hadapsar,500 sq.ft. (46 sq.m.) Carpet Area,"₹ 20 Lac₹ 4,000/sq.ft."
